COD_ISBN	AUTORI	TITOLO	STITOLO	EDIZIONE	TITOLOC	PREZZO	NUPAG	NOTA
9788808199553	"CAGLIERO Giorgio"	"Meccanica, macchine ed energia"	"Per Meccanica ed Energia"		"Volume 1 con risorse digitali Scuolabook"	3300	432	"197x266, 2012"
9788808427083	"CAGLIERO Giorgio"	"Meccanica, macchine ed energia"	"Per Meccanica ed Energia"		"Volume 2 con risorse digitali Scuolabook"	2770	352	"197x266, 2012"
9788808427106	"CAGLIERO Giorgio"	"Meccanica, macchine ed energia"	"Per Meccanica ed Energia"		"Volume 3 con risorse digitali Scuolabook"	3180	432	"197x265, 2012"
9788808320636	"CIABATTI Nello-DI CAPUA Umberto-DI COSTANZO Gennaro"	"L'arte dell'ospitalità"	"Laboratori di servizi enogastronomici - Settore sala e vendita"		"Volume primo biennio"	2270	336	", Clitt editore. Distribuzione esclusiva Zanichelli, 197x285, 2019"
9788808720931	"BAROZZI Graziella-BERGAMINI Massimo"	Matematica.in3passi			"Volume 1"	1020	160	", , 197x265, 2017"
9788808926784	"BAROZZI Graziella-BERGAMINI Massimo"	Matematica.in3passi			"Volume 2"	1020	144	", , 197x265, 2017"
9788808072252	"CLARI Michela-CORTESE Lucia-MARTIGNON-BURGHOLTE Roberta"	"Il primo Zanichelli di inglese"			"Volume unico"	2170	1032	"73 000 voci, 300 illustrazioni, 140x205, 2012"
9788808041708	"DELL'ORO Aldo"	"Art. 343-389"	"TUTELA DEI MINORI"	"1 ed."	"Volume unico"	4230	324	"180x245, 1979"
9788808168221	"GALGANO Francesco-SBISÀ Giuseppe"	"ART. 2497-2497 septies"	"Direzione e coordinamento di società"	"Seconda edizione"	"Volume unico"	8290	424	"180x245, 2014"
9788808194817	"RODATO Silvano"	"Alimentazione & territorio"	"Scienza e cultura dell'alimentazione per i Servizi di Accoglienza turistica"		"Confezione volume unico con CD-ROM + Quaderno operativo"	3590	604	"Clitt editore. Distribuzione esclusiva Zanichelli, 197x287, 2012"
9788808734891	"RODATO Silvano"	"Alimentazione & territorio"	"Scienza e cultura dell'alimentazione per i Servizi di Accoglienza turistica"		"Volume per il quinto anno"	1780	288	"Clitt editore. Distribuzione esclusiva Zanichelli, 195x285, 2012"
