"IDLuogo";"X";"Y";"Descrizione";"Origine";"Periodo";"Sito";"Gruppo";"Tipo";"Telefono";"Strada";"Citta";"Provincia";"Regione"
2;13,82;45,59;"castelliere Monte d'Oro";"castellieri";"";"Noghere ";"difesa";"castelliere";"";"Dolina";"San Dorligo della Valle / Dolina";"TS";"FVG"
9;13,73;45,74;"castelliere";"castellieri";"";"Sales ";"difesa";"castelliere";"";"Strada Provinciale 28 di Sgonico";"Sgonico / Zgonik";"TS";"FVG"
17;13,06;46,06;"castelliere (XIII sec.aC)";"castellieri";"XIII a.c.";"Savalons ";"difesa";"castelliere";"";"Via del Molino";"Mereto di Tomba";"UD";"FVG"
20;11,20;44,33;"zona archeol etrusco-celtica";"celti";"";"Marzabotto ";"musei e parchi";"zona archeologica";"";"SS64";"Marzabotto";"BO";"EMR"
21;11,19;44,33;"Sepolcreto Gallico";"celti";"";"Marzabotto ";"sepolture";"sepolcreto";"";"SS64";"Marzabotto";"BO";"EMR"
22;11,37;44,27;"Sepolcreto etrusco celtico";"celti";"";"Monte Bibele ";"sepolture";"sepolcreto";"";"Via Torre Arabella";"Monterenzio";"BO";"EMR"
23;11,37;44,27;"abitato etrusco-celtico";"celti";"";"Monte Bibele ";"abitato";"abitato";"";"Via Idice";"";"BO";"EMR"
24;12,79;46,20;"Ara sacrificale celtica";"celti";"";"Ciago ";"religione";"ara";"";"Via della Stazione";"Meduno";"PN";"FVG"
65;16,06;41,22;"Ipogei Lagrasta (III sec.aC)";"dauni";"III a.c.";"Canosa ";"ipogei";"ipogeo";"";"Corso Giuseppe Garibaldi";"Canosa di Puglia";"BT";"PUG"
66;16,05;41,21;"Ipogei del Cerbero (IV sec.aC)";"dauni";"IV a.c.";"Canosa ";"ipogei";"ipogeo";"";"Corso Giuseppe Garibaldi";"Canosa di Puglia";"BT";"PUG"
67;16,05;41,21;"Ipogeo San Martino (V Sec.aC)";"dauni";"V a.c.";"Canosa ";"ipogei";"ipogeo";"";"Corso Giuseppe Garibaldi";"Canosa di Puglia";"BT";"PUG"
68;16,05;41,21;"Ipogei dell'Oplita (IV sec.aC)";"dauni";"IV a.c.";"Canosa ";"ipogei";"ipogeo";"";"Corso Giuseppe Garibaldi";"Canosa di Puglia";"BT";"PUG"
69;16,07;41,22;"Ipogeo Scocchera (IV sec.aC)";"dauni";"IV a.c.";"Canosa ";"ipogei";"ipogeo";"";"Via Giovanni Bovio";"Canosa di Puglia";"BT";"PUG"
70;16,14;41,29;"Villaggio daunio (IV sec.aC)";"dauni";"IV a.c.";"Canne ";"";"villaggio";"";"Salinelle";"Barletta";"BT";"PUG"
71;15,89;41,60;"citta' daunia (VII sec.aC)-parco archeol";"dauni";"VII a.c.";"Siponto ";"";"parco";"";"Viale San Marcellino";"Manfredonia";"FG";"PUG"
73;10,50;42,98;"Loc. Baratti - Necropoli di S.Cerbone (VII sec.a.C.)";"etruschi";"VII a.c.";"Populonia ";"sepolture";"necropoli";"";"La via delle cave";"Piombino";"LI";"TOS"
74;10,90;42,98;"ingresso zona archeologica dell'Accesa";"etruschi";"";"Massa Marittima ";"musei e parchi";"zona archeologica";"";"Strada Provinciale 49 Accesa";"Massa Marittima";"GR";"TOS"
75;10,97;42,86;"scavi della citta'";"etruschi";"";"Vetulonia ";"abitato";"citta";"";"Strada Comunale della Scala Santa";"Castiglione della Pescaia";"GR";"TOS"
76;11,14;42,84;"Grosseto - necropoli arcaica";"etruschi";"";"Nomadelfia ";"sepolture";"necropoli";"";"SS223";"Grosseto";"GR";"TOS"
77;11,16;42,82;"ingresso parco archeologico";"etruschi";"";"Roselle ";"";"parco";"0564 402403";"Via Batignanese";"Grosseto";"GR";"TOS"
78;11,13;42,55;"Tempio etrusco";"etruschi";"";"Talamone (Telamon) ";"religione";"templi";"";"Via Cala di Forno";"Orbetello";"GR";"TOS"
79;11,26;42,54;"scavi della citta'";"etruschi";"";"Magliano ";"abitato";"citta";"";"SP160";"Orbetello";"GR";"TOS"
80;11,21;42,43;"Mura Etrusche - Via Mura di Levante";"etruschi";"";"Orbetello ";"difesa";"mura";"";"SP161";"Orbetello";"GR";"TOS"
81;11,28;42,41;"mura poligonali";"etruschi";"";"Ansedonia";"difesa";"mura";"";"Via del lentisco";"Orbetello";"GR";"TOS"
82;11,39;42,60;"Zona Archeolog. Ghiaccioforte (III sec.a.C.)";"etruschi";"III a.c.";"Scansano ";"musei e parchi";"zona archeologica";"";"Aquilaia";"Scansano";"GR";"TOS"
83;11,49;42,67;"necropoli del Puntone";"etruschi";"";"Saturnia ";"sepolture";"necropoli";"";"";"Manciano";"GR";"TOS"
84;11,63;42,65;"ingresso necropoli di Sovana";"etruschi";"";"Sovana ";"sepolture";"necropoli";"0564617019";"Strada Provinciale 22 di Sovana";"Sorano";"GR";"TOS"
85;11,48;43,03;"Fortezza etrusc Poggio Civitella (IV sec.aC)";"etruschi";"IV a.c.";"Montalcino ";"";"";"";"SP14";"Montalcino";"SI";"TOS"
86;11,38;43,16;"Museo Antiquarium Poggio Civitate. Pza.Cattedrale";"etruschi";"";"Murlo ";"";"museo";"";"";"Murlo";"SI";"TOS"
87;11,21;43,38;"Campassini villaggio etrusco";"etruschi";"";"Monteriggioni SI ";"";"villaggio";"";"Via Cassia";"Monteriggioni";"SI";"TOS"
88;11,28;43,47;"Tumulo Mte Calvario (VII sec.a.C.)";"etruschi";"VII a.c.";"Castellina in Chianti ";"sepolture";"tumulo";"";"Via Fiorentina";"Castellina in Chianti";"SI";"TOS"
89;11,36;43,47;"ingresso area Poggio la Croce";"etruschi";"";"Radda in Chianti ";"musei e parchi";"area archeologica";"";"SR429";"Radda in Chianti";"SI";"TOS"
90;11,19;43,62;"Tomba dell 'Arciere (VII sec A.C.)";"etruschi";"VII a.c.";"Monteridolfi FI ";"sepolture";"tomba";"";"Via Collina";"San Casciano in Val di Pesa";"FI";"TOS"
91;11,29;43,80;"Via Portigiani,  - ingresso zona archeologica";"etruschi";"";"Fiesole Faesulae) FI ";"musei e parchi";"zona archeologica";"";"Via Zanobi Portigiani";"Fiesole";"FI";"TOS"
92;11,21;43,83;"Tomba della Montagnola (VII sec.a.C.)";"etruschi";"VII a.c.";"Quinto.  Sesto Fiorentino ";"sepolture";"tomba";"";"Via Fratelli Rosselli";"Sesto Fiorentino";"FI";"TOS"
93;11,13;43,85;"citta' etrusca (VI sec.aC)";"etruschi";"VI a.c.";"Gonfienti ";"abitato";"citta";"";"Via Cellerese";"Prato";"PO";"TOS"
94;11,06;43,79;"Tumulo di Montefortini (VII sec.A.C.)";"etruschi";"VII a.c.";"Comeana FI ";"sepolture";"tumulo";"";"Via di Montefortini";"Carmignano";"PO";"TOS"
95;11,04;43,78;"Artimino area archeol. (VII sec.aC)";"etruschi";"VII a.c.";"Carmignano ";"musei e parchi";"area archeologica";"";"Via Pineta";"Carmignano";"PO";"TOS"
96;11,03;43,39;"necropoli Dometaia (VI sec.aC)";"etruschi";"VI a.c.";"Colle Val d'Elsa ";"sepolture";"necropoli";"";"Strada Regionale 68 di Val Cecina";"Colle di Val d'Elsa";"SI";"TOS"
97;10,85;43,40;"Via Porta all'Arco";"etruschi";"";"Volterra ";"architettonico";"porta";"";"Via della Porta all'Arco";"Volterra";"PI";"TOS"
98;11,54;43,87;"Costruzione etrusca (IV sec.aC)";"etruschi";"IV a.c.";"Frascole ";"";"";"";"Frascole";"Dicomano";"FI";"TOS"
99;11,82;43,64;"tempio e altare (V sec.a.C.)";"etruschi";"V a.c.";"Pieve a Socana AR ";"religione";"templi";"";"Strada Provinciale 61 di Carda e Calleta";"Castel Focognano";"AR";"TOS"
100;11,89;43,45;"Castelsecco - tracce di mura. santuario. Teatro";"etruschi";"";"Arezzo ";"abitato";"teatro";"";"Via di Castelsecco";"Arezzo";"AR";"TOS"
